d3mIndex,predict,p0,p1
8.0,0,0.9946188459919988,0.0053811540080012
2761.44444444444,0,0.9946188459919988,0.0053811540080012
5514.8888888888905,0,0.9946188459919988,0.0053811540080012
8268.33333333333,0,0.9946188459919988,0.0053811540080012
11021.777777777801,0,0.9946188459919988,0.0053811540080012
13775.222222222199,0,0.9946188459919988,0.0053811540080012
16528.6666666667,0,0.9946188459919988,0.0053811540080012
19282.111111111102,0,0.9946188459919988,0.0053811540080012
22035.555555555602,0,0.9946188459919988,0.0053811540080012
24789.0,0,0.9946188459919988,0.0053811540080012
12071.0,0,0.9946188459919988,0.0053811540080012
12071.0,0,0.9946188459919988,0.0053811540080012
12071.0,0,0.9946188459919988,0.0053811540080012
12071.0,0,0.9917969917372228,0.008203008262777225
12071.0,0,0.9944848894846336,0.00551511051536645
12071.0,0,0.9945828749240944,0.005417125075905729
12071.0,0,0.9946072667141986,0.005392733285801396
12071.0,0,0.9946352133122623,0.00536478668773771
12071.0,0,0.9946529291608888,0.005347070839111256
12071.0,0,0.9946660410635029,0.005333958936497023
12071.0,0,0.9946765615888172,0.0053234384111829226
12071.0,0,0.9946846949016226,0.005315305098377358
12071.0,0,0.994691223339658,0.005308776660342131
12071.0,0,0.9946751768833196,0.005324823116680425
12071.0,0,0.9945556244878688,0.00544437551213111
12071.0,0,0.9946292757946552,0.005370724205344906
12071.0,0,0.9946424796490574,0.005357520350942654
12071.0,0,0.9946541291969488,0.005345870803051308
12071.0,0,0.9946636797321602,0.005336320267839788
12071.0,0,0.9946715994062396,0.005328400593760256
12071.0,0,0.9946785277556296,0.005321472244370486
12071.0,0,0.9946844604695644,0.005315539530435736
12071.0,0,0.9946793680558166,0.0053206319441833965
12071.0,0,0.9946834465587658,0.0053165534412342105
12071.0,0,0.9945942701660512,0.00540572983394895
12071.0,0,0.9946306706516321,0.005369329348368015
12071.0,0,0.9946409452434912,0.005359054756508682
12071.0,0,0.994649903861879,0.005350096138120964
12071.0,0,0.9946576822814522,0.005342317718547744
12071.0,0,0.9946639272502616,0.005336072749738356
12071.0,0,0.9946693399150536,0.0053306600849465135
12071.0,0,0.9946711201575142,0.0053288798424857035
12071.0,0,0.9946692290810932,0.00533077091890686
12071.0,0,0.9946727227034736,0.0053272772965263365
12071.0,0,0.9946188459919988,0.0053811540080012
12071.0,0,0.9892736233500052,0.010726376649994668
12071.0,0,0.9946188459919988,0.0053811540080012
12071.0,0,0.9884729144406262,0.011527085559373764
12071.0,0,0.9946188459919988,0.0053811540080012
12071.0,0,0.988671490762347,0.011328509237653056
12071.0,0,0.9946188459919988,0.0053811540080012
12071.0,0,0.9868436535630472,0.013156346436952793
12071.0,0,0.9946188459919988,0.0053811540080012
12071.0,0,0.9933205944417632,0.006679405558236624
12071.0,0,0.9946188459919988,0.0053811540080012
12071.0,0,0.9830802614345155,0.016919738565484482
12071.0,0,0.9945521496665,0.005447850333500071
12071.0,0,0.9945831925059132,0.005416807494086958
12071.0,0,0.9946006225511212,0.0053993774488788615
12071.0,0,0.9946137894171624,0.005386210582837449
12071.0,0,0.9946426068835426,0.005357393116457429
12071.0,0,0.994652011273276,0.005347988726723874
12071.0,0,0.99467685192453,0.005323148075469894
12071.0,0,0.9946853515990824,0.005314648400917528
12071.0,0,0.9946913793044492,0.005308620695550714
12071.0,0,0.994696812036174,0.005303187963825897
12071.0,0,0.9920977736823906,0.007902226317609349
12071.0,0,0.9946127463725524,0.005387253627447753
12071.0,0,0.9946359436706798,0.005364056329320257
12071.0,0,0.9946375027939878,0.005362497206012251
12071.0,0,0.9946643924474404,0.005335607552559433
12071.0,0,0.994674672294246,0.0053253277057541465
12071.0,0,0.9946794057520959,0.005320594247903984
12071.0,0,0.9946885307522072,0.005311469247792654
12071.0,0,0.994691388121335,0.005308611878665027
12071.0,0,0.9946922609182284,0.00530773908177147
12071.0,0,0.9925832871563384,0.0074167128436617704
12071.0,0,0.9932406568728872,0.00675934312711291
12071.0,0,0.9937262574806741,0.006273742519325954
12071.0,0,0.9940366647716607,0.005963335228339103
12071.0,0,0.9943368259669908,0.0056631740330093
12071.0,0,0.994473795998178,0.005526204001821864
12071.0,0,0.9945521028743294,0.00544789712567061
12071.0,0,0.9946176629216176,0.005382337078382462
12071.0,0,0.994658803694946,0.005341196305053925
12071.0,0,0.9946730761102732,0.00532692388972661
