"d3mIndex","pmid","py","py2","py3","terriss","riveriss","mariss","terrAtt","rivAtt","marAtt","minpol","rbal","lnkmdist","mido"
16,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
4024.88888888889,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
8033.77777777778,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
12042.6666666667,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
16051.5555555556,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
20060.4444444444,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
24069.3333333333,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
28078.2222222222,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
32087.1111111111,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
36096,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,1,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,0,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,12,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,24,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,36,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,48,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,60,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,72,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,84,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,96,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,108,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,0,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,1296,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,2592,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,3888,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,5184,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,6480,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,7776,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,9072,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,10368,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,11664,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,0,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,139968,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,279936,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,419904,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,559872,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,699840,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,839808,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,979776,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,1119744,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,1259712,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,1,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,1,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,1,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,1,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,1,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,1,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-10,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-7.77777777777778,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-5.55555555555556,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3.33333333333333,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-1.11111111111111,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,1.11111111111111,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,3.33333333333333,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,5.55555555555556,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,7.77777777777778,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,10,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,1.25130122015181e-05,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.111122233788624,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.222231954565046,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.333341675341468,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.44445139611789,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.555561116894312,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.666670837670734,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.777780558447156,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.888890279223578,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,1,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,3.43398720448515,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,4.06460252251317,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,4.6952178405412,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,5.32583315856922,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,5.95644847659725,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,6.58706379462527,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.2176791126533,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.84829443068132,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,8.47890974870934,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,9.10952506673737,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,0
18478,0,27,729,19683,0,0,0,0,0,0,-3,0.115608465608466,7.97004930497614,1
